annee;emissions_totales_territoriales;emissions_menages_territoriales;emissions_hors_menages_territoriales;empreinte_totale;empreinte_menages;empreinte_hors_menages;emissions_totales_par_habitant;emissions_menages_par_habitant;emissions_hors_menages_par_habitant;empreinte_totale_par_habitant;empreinte_menages_par_habitant;empreinte_hors_menages_par_habitant
1990;589208;130420;458788;702062;130420;571642;10,1;2,2;7,9;12,1;2,2;9,8
1991;613928;138835;475094;703138;138835;564304;10,5;2,4;8,1;12,0;2,4;9,7
1992;603664;140394;463271;692607;140394;552214;10,3;2,4;7,9;11,8;2,4;9,4
1993;581855;138802;443052;645992;138802;507190;9,9;2,4;7,5;11,0;2,4;8,6
1994;573710;134935;438775;641012;134935;506077;9,7;2,3;7,4;10,8;2,3;8,5
1995;579425;135975;443451;660326;135975;524352;9,8;2,3;7,5;11,1;2,3;8,8
1996;597964;143588;454375;669364;143588;525776;10,0;2,4;7,6;11,2;2,4;8,8
1997;589680;140814;448866;637232;140814;496418;9,9;2,4;7,5;10,7;2,4;8,3
1998;603062;144981;458081;701613;144981;556632;10,0;2,4;7,6;11,7;2,4;9,3
1999;598720;146945;451774;698002;146945;551057;9,9;2,4;7,5;11,6;2,4;9,1
2000;589898;145384;444514;691874;145384;546490;9,7;2,4;7,3;11,4;2,4;9,0
2001;595409;152084;443325;700399;152084;548315;9,7;2,5;7,2;11,4;2,5;9,0
2002;588694;149929;438765;703133;149929;553204;9,6;2,4;7,1;11,4;2,4;9,0
2003;592967;152085;440882;739051;152085;586966;9,6;2,5;7,1;11,9;2,5;9,5
2004;592414;154767;437647;769416;154767;614649;9,5;2,5;7,0;12,3;2,5;9,8
2005;593423;151867;441555;782390;151867;630523;9,4;2,4;7,0;12,4;2,4;10,0
2006;583620;149005;434614;790728;149005;641723;9,2;2,4;6,9;12,5;2,4;10,1
2007;575551;139137;436414;806850;139137;667713;9,0;2,2;6,8;12,7;2,2;10,5
2008;571282;140993;430289;815668;140993;674675;8,9;2,2;6,7;12,7;2,2;10,5
2009;542843;141655;401188;747585;141655;605930;8,4;2,2;6,2;11,6;2,2;9,4
2010;547558;139985;407573;748980;139985;608995;8,5;2,2;6,3;11,6;2,2;9,4
2011;522907;132202;390705;740082;132202;607880;8,0;2,0;6,0;11,4;2,0;9,3
2012;525526;135851;389676;712743;135851;576892;8,0;2,1;6,0;10,9;2,1;8,8
2013;522306;136915;385391;705011;136915;568097;8,0;2,1;5,9;10,7;2,1;8,6
2014;487664;123252;364412;670425;123252;547173;7,4;1,9;5,5;10,2;1,9;8,3
2015;489848;126466;363382;647874;126466;521409;7,4;1,9;5,5;9,8;1,9;7,9
2016;490622;129720;360902;648498;129720;518778;7,4;1,9;5,4;9,7;1,9;7,8
2017;498233;126452;371781;655532;126452;529080;7,5;1,9;5,6;9,8;1,9;7,9
2018;480975;120575;360399;654277;120575;533702;7,2;1,8;5,4;9,7;1,8;8,0
2019;470664;118572;352091;637317;118572;518745;7,0;1,8;5,2;9,5;1,8;7,7
2020;421970;103469;318501;580548;103469;477079;6,2;1,5;4,7;8,6;1,5;7,1
2021;447215;113132;334083;619769;113132;506637;6,6;1,7;4,9;9,1;1,7;7,5
2022;434121;106126;327995;620723;106126;514597;6,4;1,6;4,8;9,1;1,6;7,5
2023;408224;99980;308244;582561;99980;482581;6,0;1,5;4,5;8,5;1,5;7,1
2024;404417;99422;304995;562827;99422;463405;5,9;1,5;4,4;8,2;1,5;6,8
